Country_New,"Gross enrolment ratio, primary, both sexes (%)","Gross enrolment ratio, secondary, both sexes (%)","Gross enrolment ratio, tertiary, both sexes (%)",Gini index (World Bank estimate),Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),2015-2010 change survival between 30-70,2015-2010 change adolescent birth rate,2015-2010 change basic sanitation,2015-2010 change clean fuels,classification
Jordan,0.0,0.0,4.3691368103026065,0.0,0.0,0.0,0.0,-1.3000000000000007,0.0,-0.35999999999999943,0.0,1
Kazakhstan,2.9664230346680114,11.373603820800497,-0.006000518798707333,-1.1999999999999993,-0.1,-1.2,-8.799999999999999,-4.299999999999997,2.6999999999999993,0.3399999999999892,2.0,1
Kenya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09999999999999964,0.0,-1.3099999999999987,2.0,1
Kiribati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3000000000000007,0.0,6.439999999999998,0.0,1
"Korea, Rep.",-2.9074935913089206,2.8022994995116903,-6.481201171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Kosovo,0.0,0.0,0.0,-6.799999999999997,-1.8,-12.5,-24.700000000000003,0.0,0.0,0.0,0.0,1
Kuwait,0.0,1.4673614501953125,0.0,0.0,0.0,0.0,0.0,-1.6999999999999993,-5.4,0.0,0.0,1
Kyrgyz,9.383483886718992,5.452995300292912,4.8761405944823935,-1.1000000000000014,-0.9999999999999998,-0.6000000000000014,3.1000000000000014,-1.6000000000000014,5.600000000000001,1.1400000000000006,4.0,1
Lao,-11.579063415527997,15.5732192993164,0.5491390228272017,0.0,0.0,0.0,0.0,-0.7999999999999972,0.0,12.939999999999998,0.0,1
Latin America & Caribbean,0.0,0.0,0.0,0.0,-2.3,-3.799999999999999,-5.900000000000002,0.0,0.0,0.0,0.0,1
Latvia,-6.182449340820199,21.148696899414006,0.0,-0.7999999999999972,-1.0,-2.0,-5.6,-3.6000000000000014,4.500000000000002,1.0900000000000034,0.0,1
Lebanon,-12.315917968749915,-14.099029541015604,-9.927288055419893,0.0,0.0,0.0,0.0,-0.20000000000000284,0.0,7.810000000000002,0.0,1
Lesotho,-4.970458984375,3.3697776794432883,0.0,0.0,0.0,0.0,0.0,-0.3999999999999986,0.0,9.080000000000002,5.0,1
Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8000000000000007,-0.29999999999998295,0.7700000000000014,0.0,1
Libya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.8100000000000023,0.0,1
